"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"110","#Bangladesh  oppositional  JCD north president s.m mizanur rahman beingdragged by  detectives from a peaceful sit-i… https://t.co/CUIyTeY8Dw",FALSE,2,NA,2018-03-08 11:44:38,TRUE,NA,"971713297861943297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PluralDemocracy",1,FALSE,FALSE,NA,NA
"111","Today BNP stage a peaceful protest but some police and Awami league student wing break the peaceful environment by… https://t.co/Pqg7muZ379",FALSE,8,NA,2018-03-08 11:43:43,TRUE,NA,"971713067468824577",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","KhanYusuf98",2,FALSE,FALSE,NA,NA
"112","#FreeKhaledaZia #PeacefulProtestBD #Bangladesh #Dhaka @BBCWorld @bbcbangla https://t.co/7rCtqQpuN1",FALSE,3,NA,2018-03-08 11:32:44,FALSE,NA,"971710302369734657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"113","#FreeKhaledaZia #Bangladesh https://t.co/IvIIS2UmPl",FALSE,3,NA,2018-03-08 11:31:11,FALSE,NA,"971709912676933634",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"114","#FreeKhaledaZia #PeacefulProtestBD #Bangladesh https://t.co/hdQpspYjMw",FALSE,1,NA,2018-03-08 11:30:25,FALSE,NA,"971709720804257792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"115","#FreeKhaledaZia #PeacefulProtestBD @UN https://t.co/hdQpspYjMw",FALSE,3,NA,2018-03-08 11:29:58,FALSE,NA,"971709607469969410",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"116","#FreeKhaledaZia #PeacefulProtestBD #Bangladesh https://t.co/ivh1aQqfwB",FALSE,3,NA,2018-03-08 11:29:08,FALSE,NA,"971709396559396864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"117","#Bangladesh oppositional  JCD north president s.m mizanur rahman being dragged by detectives from a peaceful sit-in… https://t.co/xcgMeH8q6a",FALSE,14,NA,2018-03-08 11:28:37,TRUE,NA,"971709266016030720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Abdullahramu",7,FALSE,FALSE,NA,NA
"118","#FreeKhaledaZia #PeacefulProtestBD @USAmbBangladesh @MBernicat https://t.co/lkdm7S9D70",FALSE,2,NA,2018-03-08 11:28:33,FALSE,NA,"971709251952537601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",1,FALSE,FALSE,NA,NA
"119","#Bangladesh oppositional  JCD north president s.m mizanur rahman being dragged by detectives from a peaceful sit-in… https://t.co/dr9vf3Qu36",FALSE,15,NA,2018-03-08 11:27:45,TRUE,NA,"971709048818192384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Abdullahramu",6,FALSE,FALSE,NA,NA
"120","#FreeKhaledaZia #Bangladesh https://t.co/1iLr17gIFc",FALSE,2,NA,2018-03-08 11:27:30,FALSE,NA,"971708984477364224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",1,FALSE,FALSE,NA,NA
"121","#FreeKhaledaZia https://t.co/uz51xzqoWj",FALSE,3,NA,2018-03-08 11:27:08,FALSE,NA,"971708892378902528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"122","#FreeKhaledaZia https://t.co/pouf0K4LXW",FALSE,0,NA,2018-03-08 11:26:43,FALSE,NA,"971708788695683072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",1,FALSE,FALSE,NA,NA
"123","#FreeKhaledaZia https://t.co/41OkpElNfh",FALSE,0,NA,2018-03-08 11:26:31,FALSE,NA,"971708737265180672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"124","#FreeKhaledaZia https://t.co/izbhV3dlsV",FALSE,1,NA,2018-03-08 11:25:59,FALSE,NA,"971708605899538432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"125","#FreeKhaledaZia https://t.co/csXaW62Jwn",FALSE,2,NA,2018-03-08 11:25:12,FALSE,NA,"971708406053523458",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"126","#FreeKhaledaZia #PeacefulProtestBD https://t.co/1S28jDopDu",FALSE,0,NA,2018-03-08 11:24:46,FALSE,NA,"971708298872287232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"127","#PeacefulProtestBD #FreeBegumZiaMovement #FreeKhaledaZia @UN @realDonaldTrump @ForeignAffairs @FoxNews @CNN https://t.co/BeYMINscRh",FALSE,0,NA,2018-03-08 11:24:15,FALSE,NA,"971708168702054400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"128","#PeacefulProtestBD #FreeKhaledaZia #Dhaka #Bangladesh @realDonaldTrump @USAmbBangladesh https://t.co/hQOpZOCLaG",FALSE,0,NA,2018-03-08 11:17:30,FALSE,NA,"971706469925056512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"129","#FreeKhaledaZia #PeacefulProtestBD #Bangladesh #Dhaka @EU_Commission https://t.co/hQOpZOCLaG",FALSE,2,NA,2018-03-08 11:16:31,FALSE,NA,"971706221097971712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",2,FALSE,FALSE,NA,NA
"130","#FreeKhaledaZia #PeacefulProtestBD #SaveBangladesh #SaveDemocracy #Dhaka #Bangladesh @LisaCurtisHF https://t.co/hQOpZOCLaG",FALSE,6,NA,2018-03-08 11:15:52,FALSE,NA,"971706060649017344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",5,FALSE,FALSE,NA,NA
"131","#FreeKhaledaZia #PeacefulProtestBD @USAmbBangladesh https://t.co/hQOpZOCLaG",FALSE,1,NA,2018-03-08 11:15:01,FALSE,NA,"971705845833596928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"132","#FreeKhaledaZia #PeacefulProtestBD https://t.co/hQOpZOCLaG",FALSE,0,NA,2018-03-08 11:12:54,FALSE,NA,"971705310560772096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"133","#FreeKhaledaZia https://t.co/TFKTqEmbRM",FALSE,2,NA,2018-03-08 11:12:27,FALSE,NA,"971705198329712640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Abdullahramu",2,FALSE,FALSE,NA,NA
"134","#FreeKhaledaZia https://t.co/jp3oixDEn7",FALSE,0,NA,2018-03-08 11:12:17,FALSE,NA,"971705155203735554",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"135","#FreeKhaledaZia https://t.co/hCKuMVJdqS",FALSE,0,NA,2018-03-08 11:11:48,FALSE,NA,"971705036622278657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"136","#FreeKhaledaZia https://t.co/A1lz9IUQ4u",FALSE,0,NA,2018-03-08 11:11:20,FALSE,NA,"971704917122473984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"137","#FreeKhaledaZia https://t.co/LpKJz6qC4H",FALSE,0,NA,2018-03-08 11:10:02,FALSE,NA,"971704589492789253",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"138","#FreeKhaledaZia https://t.co/2mPIKteG46",FALSE,0,NA,2018-03-08 11:08:51,FALSE,NA,"971704291533537280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"139","#FreeKhaledaZia https://t.co/s3QHyLHQhL",FALSE,0,NA,2018-03-08 11:08:20,FALSE,NA,"971704163049422849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"140","#Bangladesh oppositional  JCD north president s.m mizanur rahman being dragged by detectives from a peaceful sit-in… https://t.co/RNKDCsNbVL",FALSE,0,NA,2018-03-08 11:07:41,TRUE,NA,"971703997731020800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"141","#Bangladesh oppositional  JCD north president s.m mizanur rahman being dragged by detectives from a peaceful sit-in… https://t.co/8wVy0BqJKz",FALSE,2,NA,2018-03-08 11:05:11,TRUE,NA,"971703368262418432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"142","#Bangladesh oppositional  JCD north president s.m mizanur rahman being dragged by detectives from a peaceful sit-in… https://t.co/O6UXBw43Ai",FALSE,11,NA,2018-03-08 10:56:23,TRUE,NA,"971701156383772675",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shamimabir04",5,FALSE,FALSE,NA,NA
